page	ink_ratio	bbox_left	bbox_top	bbox_right	bbox_bottom	margin_flag
1	0.00915	44	73	265	426	OK
2	0.11657	25	27	281	426	OK
3	0.01703	21	27	286	426	OK
4	0.00451	83	27	226	426	OK
5	0.02852	21	27	287	426	OK
6	0.11016	20	27	288	426	OK
7	0.10742	20	27	288	426	OK
8	0.11237	21	27	288	426	OK
9	0.11052	20	27	288	426	OK
10	0.11083	20	27	288	426	OK
11	0.10133	21	27	288	426	OK
12	0.10658	20	27	288	426	OK
13	0.10406	20	27	288	426	OK
14	0.10689	20	27	288	426	OK
15	0.10319	21	27	288	426	OK
16	0.10532	20	27	288	426	OK
17	0.10482	20	27	288	426	OK
18	0.10485	20	27	288	426	OK
19	0.10285	20	27	287	426	OK
20	0.10487	20	27	288	426	OK
21	0.10755	21	27	288	426	OK
22	0.10365	20	27	288	426	OK
23	0.10247	20	27	288	426	OK
24	0.10485	20	27	288	426	OK
25	0.10586	20	27	288	426	OK
26	0.10049	20	27	284	426	OK
27	0.10414	20	27	288	426	OK
28	0.10293	20	27	287	426	OK
29	0.10497	20	27	287	426	OK
30	0.10393	21	27	288	426	OK
31	0.10906	20	27	288	426	OK
32	0.10605	20	27	288	426	OK
33	0.10309	20	27	287	426	OK
34	0.10415	20	27	287	426	OK
35	0.10507	20	27	287	426	OK
36	0.10860	20	27	288	426	OK
37	0.10529	20	27	288	426	OK
38	0.10921	20	27	288	426	OK
39	0.10422	21	27	288	426	OK
40	0.10596	21	27	288	426	OK
41	0.10773	20	27	288	426	OK
42	0.10334	20	27	287	426	OK
43	0.10342	20	27	287	426	OK
44	0.11261	20	27	288	426	OK
45	0.10346	20	27	287	426	OK
46	0.10606	21	27	288	426	OK
47	0.10222	20	27	287	426	OK
48	0.10379	20	27	288	426	OK
49	0.10418	20	27	288	426	OK
50	0.10087	21	27	288	426	OK
51	0.11425	20	27	288	426	OK
52	0.10333	20	27	288	426	OK
53	0.10352	20	27	287	426	OK
54	0.10333	21	27	287	426	OK
55	0.10289	20	27	287	426	OK
56	0.10337	20	27	287	426	OK
57	0.10203	21	27	287	426	OK
58	0.10490	20	27	288	426	OK
59	0.10798	21	27	288	426	OK
60	0.10791	20	27	288	426	OK
61	0.10125	21	27	287	426	OK
62	0.10421	20	27	288	426	OK
63	0.10015	20	27	288	426	OK
64	0.10113	21	27	287	426	OK
65	0.10168	20	27	287	426	OK
66	0.10356	20	27	288	426	OK
67	0.10300	21	27	287	426	OK
68	0.10423	21	27	288	426	OK
69	0.10423	20	27	288	426	OK
70	0.10423	20	27	288	426	OK
71	0.10419	20	27	288	426	OK
72	0.10242	20	27	287	426	OK
73	0.10035	21	27	288	426	OK
74	0.10049	20	27	288	426	OK
75	0.10485	20	27	288	426	OK
76	0.10482	20	27	288	426	OK
77	0.11149	21	27	288	426	OK
78	0.10658	20	27	288	426	OK
79	0.10486	20	27	288	426	OK
80	0.10291	20	27	287	426	OK
81	0.10418	20	27	288	426	OK
82	0.10472	20	27	287	426	OK
83	0.10421	20	27	288	426	OK
84	0.10420	20	27	288	426	OK
85	0.10314	20	27	288	426	OK
86	0.10461	20	27	288	426	OK
87	0.10340	20	27	288	426	OK
88	0.10384	20	27	288	426	OK
89	0.10384	20	27	288	426	OK
90	0.10384	20	27	288	426	OK
91	0.10761	20	27	288	426	OK
92	0.10382	20	27	288	426	OK
93	0.10384	20	27	288	426	OK
94	0.10540	20	27	288	426	OK
95	0.09895	20	27	288	426	OK
96	0.10999	20	27	288	426	OK
97	0.10026	21	27	287	426	OK
98	0.10283	20	27	288	426	OK
99	0.10467	20	27	288	426	OK
100	0.10635	20	27	288	426	OK
101	0.10328	20	27	288	426	OK
102	0.10261	20	27	287	426	OK
103	0.10495	20	27	288	426	OK
104	0.10612	21	27	288	426	OK
105	0.10457	20	27	288	426	OK
106	0.10183	20	27	288	426	OK
107	0.10504	20	27	288	426	OK
108	0.10996	20	27	288	426	OK
109	0.10938	20	27	288	426	OK
110	0.10504	20	27	288	426	OK
